symbol	panels	version
CCDC65	POLYM	POLYM_v1
CCDC78	MMG,MYOC	MMG_v1,MYOC_v1
CCDC8	POLYM	POLYM_v1
CCDC88A	RGDI+	RGDI+_v1
CCDC88C	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CCN6	POLYM	POLYM_v1
CCND2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CCNO	POLYM	POLYM_v1
CCNQ	POLYM	POLYM_v1
CD96	RGDI+	RGDI+_v1
CDC42	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDC42BPB	RGDI+	RGDI+_v1
CDC45	POLYM	POLYM_v1
CDC6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDH1	POLYM	POLYM_v1
CDH11	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDH15	RGDI	RGDI_v1
CDH2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CDH23	POLYM	POLYM_v1
CDH3	POLYM	POLYM_v1
CDK10	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDK13	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDK16	RGDI+	RGDI+_v1
CDK19	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CDK5RAP2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDK8	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDK9	RGDI+	RGDI+_v1
CDKL5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDKN1C	POLYM	POLYM_v1
CDON	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CDT1	POLYM	POLYM_v1
CELF2	RGDI+	RGDI+_v1
CENPF	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CENPJ	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CEP104	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CEP120	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CEP135	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CEP152	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CEP164	POLYM	POLYM_v1
CEP290	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CEP41	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CEP55	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CEP57	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CEP63	RGDI+	RGDI+_v1
CEP83	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CEP85L	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CERT1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CFAP300	POLYM	POLYM_v1
CFAP410	POLYM	POLYM_v1
CFAP53	POLYM	POLYM_v1
CFC1	POLYM	POLYM_v1
CFL2	MMG,MYOC	MMG_v1,MYOC_v1
CHAMP1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHAT	MMG,MYAC	MMG_v1,MYAC_v1
CHCHD10	MITN,POLYM	MITN_v1,POLYM_v1
CHD1	RGDI+	RGDI+_v1
CHD2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHD3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHD4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHD5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CHD7	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHD8	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHKA	RGDI+	RGDI+_v1
CHKB	DYSM,MMG,POLYM,RGDI,RGDI+	DYSM_v1,MMG_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHL1	RGDI+	RGDI+_v1
CHM	POLYM	POLYM_v1
CHMP1A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CHRDL1	POLYM	POLYM_v1
CHRM1	RGDI+	RGDI+_v1
CHRNA1	MMG,MYAC	MMG_v1,MYAC_v1
CHRNA3	POLYM	POLYM_v1
CHRNA4	POLYM	POLYM_v1
CHRNB1	MMG,MYAC	MMG_v1,MYAC_v1
CHRND	MMG,MYAC	MMG_v1,MYAC_v1
CHRNE	MMG,MYAC	MMG_v1,MYAC_v1
CHRNG	POLYM	POLYM_v1
CHST14	POLYM,RGDI+	POLYM_v1,RGDI+_v1
CHST3	POLYM	POLYM_v1
CHST6	POLYM	POLYM_v1
CHSY1	POLYM	POLYM_v1
CHUK	POLYM	POLYM_v1
CIB2	POLYM	POLYM_v1
CIC	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CILK1	POLYM	POLYM_v1
CISD2	POLYM	POLYM_v1
CIT	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CKAP2L	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLCN2	RGDI+	RGDI+_v1
CLCN3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CLCN4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLCN5	POLYM	POLYM_v1
CLCN7	POLYM	POLYM_v1
CLDN16	POLYM	POLYM_v1
CLDN19	POLYM	POLYM_v1
CLN3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLN5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLN6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLN8	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLP1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLPB	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CLPP	MITN,POLYM	MITN_v1,POLYM_v1
CLTC	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CNKSR2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CNNM2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CNOT1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CNOT2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CNOT3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CNPY3	RGDI+	RGDI+_v1
CNTNAP1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CNTNAP2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COA6	MITN,POLYM	MITN_v1,POLYM_v1
COA7	MITN,POLYM	MITN_v1,POLYM_v1
COA8	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COASY	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COG1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COG4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COG5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COG6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COG7	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COG8	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COL10A1	POLYM	POLYM_v1
COL11A1	POLYM	POLYM_v1
COL11A2	POLYM	POLYM_v1
COL12A1	MMG,MYOC	MMG_v1,MYOC_v1
COL13A1	MMG,MYAC	MMG_v1,MYAC_v1
COL18A1	POLYM	POLYM_v1
COL1A1	POLYM	POLYM_v1
COL1A2	POLYM	POLYM_v1
COL2A1	POLYM	POLYM_v1
COL4A1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COL4A2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COL4A3	POLYM	POLYM_v1
COL4A4	POLYM	POLYM_v1
COL6A1	DYSM,MMG,MYOC,POLYM	DYSM_v1,MMG_v1,MYOC_v1,POLYM_v1
COL6A2	DYSM,MMG,MYOC	DYSM_v1,MMG_v1,MYOC_v1
COL6A3	DYSM,MMG,MYOC,POLYM	DYSM_v1,MMG_v1,MYOC_v1,POLYM_v1
COL9A1	POLYM	POLYM_v1
COL9A2	POLYM	POLYM_v1
COL9A3	POLYM	POLYM_v1
COLEC10	POLYM	POLYM_v1
COLEC11	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COLQ	MMG,MYAC	MMG_v1,MYAC_v1
COMP	POLYM	POLYM_v1
COPB1	RGDI+	RGDI+_v1
COPB2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
COQ2	MITN,POLYM	MITN_v1,POLYM_v1
COQ4	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COQ6	MITN,POLYM	MITN_v1,POLYM_v1
COQ7	MITN,POLYM	MITN_v1,POLYM_v1
COQ8A	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COQ8B	MITN,POLYM	MITN_v1,POLYM_v1
COQ9	MITN,POLYM,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1
COX10	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COX14	MITN,POLYM	MITN_v1,POLYM_v1
COX15	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
COX16	MITN	MITN_v1
COX20	MITN,POLYM	MITN_v1,POLYM_v1
COX6A1	MITN,POLYM	MITN_v1,POLYM_v1
COX6A2	MITN	MITN_v1
COX6B1	MITN,POLYM,RGDI	MITN_v1,POLYM_v1,RGDI_v1
COX7B	MITN,POLYM,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1
CP	POLYM	POLYM_v1
CPE	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CPLANE1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CPOX	POLYM	POLYM_v1
CPS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CPSF3	RGDI+	RGDI+_v1
CPT1A	POLYM	POLYM_v1
CPT2	MMG,POLYM,RHAB	MMG_v1,POLYM_v1,RHAB_v1
CRADD	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CRB1	POLYM	POLYM_v1
CRB2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CRBN	RGDI+	RGDI+_v1
CREB3L1	POLYM	POLYM_v1
CREBBP	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CRPPA	DYSM,MMG,POLYM,RGDI,RGDI+	DYSM_v1,MMG_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CRTAP	POLYM	POLYM_v1
CRX	POLYM	POLYM_v1
CRYAA	POLYM	POLYM_v1
CRYAB	DYSM,MMG	DYSM_v1,MMG_v1
CRYBA1	POLYM	POLYM_v1
CRYBA4	POLYM	POLYM_v1
CRYBB1	POLYM	POLYM_v1
CRYBB2	POLYM	POLYM_v1
CRYBB3	POLYM	POLYM_v1
CRYGC	POLYM	POLYM_v1
CRYGD	POLYM	POLYM_v1
CSDE1	RGDI,RGDI+	RGDI+_v1,RGDI_v1,RGDI_v2
CSF1R	POLYM	POLYM_v1
CSGALNACT1	POLYM	POLYM_v1
CSNK1G1	RGDI,RGDI+	RGDI+_v1,RGDI_v2
CSNK2A1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CSNK2B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CSPP1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CSTB	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTBP1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTC1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1
CTCF	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTDP1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTH	POLYM	POLYM_v1
CTNNA2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTNNB1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTNND1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CTNS	POLYM	POLYM_v1
CTSA	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTSC	POLYM	POLYM_v1
CTSD	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CTSK	POLYM	POLYM_v1
CTU2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CUBN	POLYM	POLYM_v1
CUL3	RGDI+	RGDI+_v1
CUL4B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CUL7	POLYM	POLYM_v1
CUX1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CUX2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CWC27	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CWF19L1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CXorf56	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
CYB5R3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CYC1	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CYFIP2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
CYP1B1	POLYM	POLYM_v1
CYP27A1	POLYM	POLYM_v1
CYP27B1	POLYM	POLYM_v1
CYP2R1	POLYM	POLYM_v1
CYP2U1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1
CYP7B1	POLYM	POLYM_v1
D2HGDH	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DAG1	DYSM,MMG,POLYM,RGDI,RGDI+	DYSM_v1,MMG_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DARS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DARS2	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DBH	POLYM	POLYM_v1
DBT	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DCAF17	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DCHS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DCPS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DCX	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DDB1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
DDB2	POLYM	POLYM_v1
DDC	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DDHD1	POLYM	POLYM_v1
DDHD2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DDOST	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1
DDR2	POLYM	POLYM_v1
DDX11	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DDX23	RGDI+	RGDI+_v1
DDX3X	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DDX53	RGDI+	RGDI+_v1
DDX59	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DDX6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DEAF1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DEGS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DENND5A	RGDI+	RGDI+_v1
DEPDC5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DES	DYSM,MMG	DYSM_v1,MMG_v1
DGUOK	MITN,POLYM	MITN_v1,POLYM_v1
DHCR24	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DHCR7	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DHDDS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DHFR	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DHODH	POLYM	POLYM_v1
DHPS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DHTKD1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DHX30	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DHX32	RGDI+	RGDI+_v1
DHX37	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
DIAPH1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DIS3L2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DKC1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DLAT	MITN,POLYM,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1
DLD	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DLG1	RGDI+	RGDI+_v1
DLG2	RGDI+	RGDI+_v1
DLG3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DLG4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
DLL1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
DLL3	POLYM	POLYM_v1
DLL4	POLYM	POLYM_v1
DLX3	POLYM	POLYM_v1
DLX5	POLYM	POLYM_v1
DMD	DYSM,MMG,POLYM,RGDI,RGDI+,RHAB	DYSM_v1,MMG_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2,RHAB_v1
DMP1	POLYM	POLYM_v1
DMPK	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DMXL2	POLYM,RGDI	POLYM_v1,RGDI_v1
DNA2	MITN,POLYM	MITN_v1,POLYM_v1
DNAAF3	POLYM	POLYM_v1
DNAAF4	POLYM	POLYM_v1
DNAH9	POLYM	POLYM_v1
DNAJB6	DYSM,MMG	DYSM_v1,MMG_v1
DNAJC12	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DNAJC19	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DNAJC30	MITN	MITN_v1
DNAJC5	POLYM	POLYM_v1
DNM1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DNM1L	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v2
DNM2	MITN,MMG,MYOC,POLYM	MITN_v1,MMG_v1,MYOC_v1,POLYM_v1
DNMT3A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DNMT3B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DOCK3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DOCK6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DOCK7	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DOCK8	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DOHH	RGDI+	RGDI+_v1
DOK7	DYSM,MMG,MYAC,MYOC	DYSM_v1,MMG_v1,MYAC_v1,MYOC_v1
DOLK	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DONSON	RGDI+	RGDI+_v1
DPAGT1	MMG,MYAC,POLYM,RGDI,RGDI+	MMG_v1,MYAC_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DPF2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DPH1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DPH2	RGDI+	RGDI+_v1
DPH5	RGDI+	RGDI+_v1
DPM1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DPM2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
DPM3	DYSM,MMG,POLYM	DYSM_v1,MMG_v1,POLYM_v1
DPP6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DPYD	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DPYS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
DPYSL5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
DROSHA	RGDI+	RGDI+_v1
DSPP	POLYM	POLYM_v1
DSTYK	POLYM	POLYM_v1
DTYMK	RGDI+	RGDI+_v1
DVL1	POLYM	POLYM_v1
DVL3	POLYM	POLYM_v1
DYM	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DYNC1H1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DYNC1I2	RGDI+	RGDI+_v1
DYNC2H1	POLYM	POLYM_v1
DYNC2LI1	POLYM	POLYM_v1
DYRK1A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
DYSF	DYSM,MMG,RHAB	DYSM_v1,MMG_v1,RHAB_v1
EARS2	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v2
EBF3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EBP	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ECEL1	POLYM	POLYM_v1
ECHS1	MITN,POLYM	MITN_v1,POLYM_v1
EDA	POLYM	POLYM_v1
EDAR	POLYM	POLYM_v1
EDEM3	RGDI+	RGDI+_v1
EDNRA	POLYM	POLYM_v1
EDNRB	POLYM	POLYM_v1
EED	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EEF1A2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EEF1B2	RGDI+	RGDI+_v1
EFNB1	POLYM	POLYM_v1
EFTUD2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EGR2	POLYM	POLYM_v1
EHMT1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EIF2AK2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
EIF2AK3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EIF2S3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EIF3F	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EIF4A2	RGDI+	RGDI+_v1
EIF4A3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EIF5A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ELAC2	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ELN	POLYM	POLYM_v1
ELOVL4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ELP2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EMC1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
EMC10	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
